City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,diamantino,-14.4086,-56.4461,66.94,57,0,2.21,BR,1667717645
85,senador jose porfirio,-2.5908,-51.9542,72.82,94,100,1.1,BR,1667717647
86,kapaa,22.0752,-159.319,78.12,84,40,16.11,US,1667717650
87,albany,42.6001,-73.9662,67.73,81,100,1.99,US,1667717652
88,nemuro,43.3236,145.575,46.62,55,94,4.59,JP,1667717655
89,stephenville,32.2207,-98.2023,58.14,72,0,6.91,US,1667717447
90,srikakulam,18.3,83.9,83.82,52,16,5.73,IN,1667717660
91,waipawa,-41.4122,175.5153,50.9,75,31,7.05,NZ,1667717663
92,filadelfia,39.9523,-75.1638,68.22,86,75,4.61,US,1667717472
93,zhigansk,66.7697,123.3711,-19.79,98,31,6.51,RU,1667717305
94,ferme-neuve,46.7001,-75.4493,65.66,82,100,18.25,CA,1667717672
95,codrington,-38.2667,141.9667,63.86,70,52,5.7,AU,1667717675
96,kruisfontein,-34.0033,24.7314,74.88,54,0,7.7,ZA,1667717182
97,vidim,56.4088,103.1106,32.49,96,100,4.97,RU,1667717679
98,bayan,46.0833,127.4,40.37,43,10,4.45,CN,1667717682
99,nobres,-14.7203,-56.3275,67.55,53,0,1.88,BR,1667717684
100,fortuna,40.5982,-124.1573,46.98,94,100,3.0,US,1667716915
101,mount gambier,-37.8333,140.7667,68.43,54,27,4.79,AU,1667717484
102,jamestown,42.097,-79.2353,66.02,91,100,11.5,US,1667717685
103,nhulunbuy,-12.2333,136.7667,90.21,58,40,9.22,AU,1667717696
104,sabla,12.7525,4.7077,73.51,25,27,7.92,NG,1667717698
105,new norfolk,-42.7826,147.0587,73.9,25,91,3.0,AU,1667717701
106,lakes entrance,-37.8811,147.981,69.17,66,100,8.88,AU,1667717703
107,walvis bay,-22.9575,14.5053,61.75,94,100,6.91,NA,1667717706
108,igrim,63.1906,64.4162,22.12,82,92,4.63,RU,1667717709
109,nchelenge,-9.3451,28.734,75.4,69,80,5.23,ZM,1667717712
110,kasongo-lunda,-6.4667,16.8167,73.33,87,100,1.77,CD,1667717714
111,sitka,57.0531,-135.33,29.39,51,9,11.05,US,1667717717
112,hengyang,26.8881,112.615,74.52,39,29,4.07,CN,1667717719
113,butaritari,3.0707,172.7902,79.72,73,79,8.86,KI,1667717722
114,clyde river,70.4692,-68.5914,-7.94,87,55,5.82,CA,1667717724
115,harper,4.375,-7.7169,77.94,86,91,7.23,LR,1667717727
116,lubango,-14.9172,13.4925,69.17,39,10,3.74,AO,1667717659
117,nikolskoye,59.7035,30.7861,31.91,72,100,10.16,RU,1667717732
118,jati,24.3539,68.2671,91.63,26,40,10.54,PK,1667717735
119,georgetown,5.4112,100.3354,89.53,77,40,8.05,MY,1667717739
120,saint george,37.1041,-113.5841,52.39,45,100,4.61,US,1667717742
121,bairnsdale,-37.8333,147.6167,69.06,64,100,4.0,AU,1667717744
122,hojai,26.0,92.8667,79.95,68,0,0.78,IN,1667717747
123,port hardy,50.6996,-127.4199,39.38,87,75,20.71,CA,1667717749
124,coueron,47.2151,-1.7217,56.88,86,75,10.36,FR,1667717754
125,san jose,37.3394,-121.895,61.59,87,100,4.61,US,1667717754
126,gabu,12.2833,-14.2167,69.04,82,0,3.29,GW,1667717759
127,bereda,43.2686,-7.5406,53.42,100,100,5.19,ES,1667717761
128,illapel,-31.6308,-71.1653,56.32,81,55,1.52,CL,1667717764
129,udachnyy,66.4167,112.4,-4.56,76,52,1.7,RU,1667717766
130,sulangan,11.1373,123.7228,82.71,76,89,12.17,PH,1667717769
131,bambous virieux,-20.3428,57.7575,80.85,65,40,12.66,MU,1667717772
132,siguiri,11.6667,-9.5,70.95,49,8,1.41,GN,1667717774
133,biltine,14.5333,20.9167,84.07,17,78,16.2,TD,1667717777
134,henties bay,-22.116,14.2845,64.45,76,76,4.81,NA,1667717779
135,bathsheba,13.2167,-59.5167,79.41,89,75,19.57,BB,1667717247
136,leningradskiy,69.3833,178.4167,12.04,86,41,13.47,RU,1667717784
137,ahipara,-35.1667,173.1667,59.14,84,63,3.15,NZ,1667717787
138,takoradi,4.8845,-1.7554,78.82,85,90,6.33,GH,1667717789
139,ginda,30.6945,78.4932,68.22,33,11,5.57,IN,1667717792
140,hazebrouck,50.7237,2.5373,52.02,85,100,17.76,FR,1667717794
141,saint-philippe,-21.3585,55.7679,80.19,76,50,7.18,RE,1667717797
142,grindavik,63.8424,-22.4338,42.75,65,0,13.8,IS,1667717799
143,abbeville,50.1,1.8333,53.49,83,100,17.56,FR,1667717802
144,aripuana,-9.1667,-60.6333,69.08,67,6,1.52,BR,1667717804
145,bengkulu,-3.8004,102.2655,82.13,69,100,5.5,ID,1667717807
146,lasa,46.6166,10.7002,40.08,45,91,1.77,IT,1667717232
147,inta,66.0317,60.1659,26.65,97,100,13.89,RU,1667717811
148,yumen,40.2833,97.2,52.16,16,42,14.74,CN,1667717814
149,gaspe,48.8334,-64.4819,51.71,93,40,2.3,CA,1667717816
150,lebu,-37.6167,-73.65,49.17,92,12,6.22,CL,1667717819
